,id,name,picture_url,host_id,host_since,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_90,review_scores_rating,calculated_host_listings_count,reviews_per_month,Hotel room,Private room,Shared room,host_since_interval,5 to 10,less than 5,Lprice,bathrooms_cislo,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighborhood_overview_1,host_location_1,host_about_1,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,has_availability_t,instant_bookable_t,price_range
32,182772,Rental unit in Prague · ★4.64 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/miso/Hosting-182772/original/f9d56a29-e49c-4913-9100-36b3874261ab.jpeg,315332,2010-12-10,100.0,95.0,Praha 1,50.08354,14.41276,Entire home/apt,4, bath,2.0,3163.0,3,365,50,4.64,14,1.23,False,False,False, more than 10,False,False,8.059276223305648,1.0,False,False,True,False,True,True,True,True,True,True,False,>3000
33,183338,Rental unit in Prague · ★4.79 · 1 bedroom · 3 beds · 1 bath,https://a0.muscache.com/pictures/miso/Hosting-183338/original/695102f1-730f-4751-a57b-2b966ac2ffbd.jpeg,850917,2011-07-21,100.0,100.0,Praha 1,50.0792350769043,14.429807662963867,Entire home/apt,3, bath,3.0,1832.0,2,1125,0,4.79,2,1.96,False,False,False, more than 10,False,False,7.513163545234075,1.0,False,False,True,True,True,False,True,True,True,True,False,1500-2000
34,186750,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/89a2e0cc-e1fb-4519-b182-50b4b42debd5.jpg,783726,2011-07-06,100.0,100.0,Praha 3,50.08499,14.45316,Entire home/apt,4, bath,2.0,2243.0,3,180,0,4.76,3,3.96,False,False,False, more than 10,False,False,7.715569534520208,1.0,False,False,True,False,True,True,False,True,True,True,True,2000-2500
36,191474,Rental unit in Prague · ★4.59 · 1 bedroom · 3 beds · 1 bath,https://a0.muscache.com/pictures/56941082-c8e5-4012-8f19-e49792c35967.jpg,333807,2011-01-03,100.0,99.0,Praha 1,50.09124,14.42863,Entire home/apt,5, bath,3.0,4193.0,2,365,73,4.59,9,0.24,False,False,False, more than 10,False,False,8.341171747170762,1.0,False,False,True,True,False,True,False,True,True,True,True,>3000
37,191547,Rental unit in Prague · ★4.64 · 2 bedrooms · 2 beds · 2 baths,https://a0.muscache.com/pictures/47fdad64-e75e-4563-b84e-0b1e81603379.jpg,333807,2011-01-03,100.0,99.0,Praha 1,50.09124,14.42863,Entire home/apt,8, baths,2.0,5793.0,2,365,70,4.64,9,0.31,False,False,False, more than 10,False,False,8.664405571096625,2.0,False,False,True,True,False,True,False,True,True,True,True,>3000
38,191554,Rental unit in Prague · ★4.22 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/32723032/08a9863e_original.jpg,333807,2011-01-03,100.0,99.0,Praha 1,50.09124,14.42863,Entire home/apt,2, bath,1.0,2183.0,2,365,75,4.22,9,0.37,False,False,False, more than 10,False,False,7.688455356549944,1.0,False,False,True,True,False,True,False,True,True,True,True,2000-2500
39,199947,Rental unit in Prague 01 · ★4.63 · 3 bedrooms · 7 beds · 2 baths,https://a0.muscache.com/pictures/prohost-api/Hosting-199947/original/47fa12ce-f326-4b3b-99f1-6630924264bd.jpeg,955586,2011-08-11,100.0,97.0,Praha 1,50.08051186676624,14.420989570206713,Entire home/apt,10, baths,7.0,12848.0,1,1125,6,4.63,8,0.94,False,False,False, more than 10,False,False,9.460943436186543,2.0,False,False,True,False,True,True,False,True,True,True,True,>3000
43,208007,Rental unit in Prague · ★4.46 · 2 bedrooms · 7 beds · 1 bath,https://a0.muscache.com/pictures/1814677/51a105ca_original.jpg,383698,2011-02-09,100.0,99.0,Praha 1,50.07687,14.41414,Entire home/apt,7, bath,7.0,3871.0,1,365,80,4.46,33,0.97,False,False,False, more than 10,False,False,8.261268150577648,1.0,False,False,True,True,True,True,False,True,True,True,True,>3000
46,224457,Rental unit in Prague · ★4.57 · 2 bedrooms · 6 beds · 1 bath,https://a0.muscache.com/pictures/51aa515d-fb56-4a7d-a88d-5023fc27a595.jpg,1167278,2011-09-16,100.0,60.0,Praha 1,50.08737,14.41071,Entire home/apt,6, bath,6.0,3573.0,2,10,49,4.57,1,1.74,False,False,False, more than 10,False,False,8.181160858023409,1.0,False,False,True,False,False,True,True,True,True,True,False,>3000
47,247267,Rental unit in Prague · ★4.81 · 1 bedroom · 4 beds · 1 bath,https://a0.muscache.com/pictures/miso/Hosting-247267/original/14b0af3e-6135-4415-9a52-cc0d2f528cfa.jpeg,113902,2010-04-26,100.0,100.0,Praha 1,50.08704,14.43397,Entire home/apt,3, bath,4.0,2242.0,3,365,47,4.81,3,3.18,False,False,False, more than 10,False,False,7.715123603632105,1.0,False,False,True,True,True,True,True,True,True,True,False,2000-2500
